Settlement Date,loan_amount_list
2023-10-02 00:00:00.000000,"60,604.60,27,160.00,41,600.00,68,586.46,37,745.00"
2023-10-03 00:00:00.000000,"36,390.00,89,199.00,27,625.00"
2023-10-04 00:00:00.000000,"36,390.00,1.8,41,610.00,57,610.00"
2023-10-05 00:00:00.000000,"1.8,49,210.00,33,490.00,37,490.00,81,600.00"
2023-10-06 00:00:00.000000,"59,060.20,35,380.00,35,710.00"
2023-10-09 00:00:00.000000,"81,620.00,40,840.98,25,840.00,41,594.00,60,418.00,24,171.58"
2023-10-10 00:00:00.000000,"57,389.98,15,530.00,53,600.00,73,400.07,51,610.00,43,890.00"
2023-10-11 00:00:00.000000,"55,266.25,30,490.00,53,910.00,49,390.00"
2023-10-12 00:00:00.000000,"19,170.00,53,776.50,77,590.87"
2023-10-13 00:00:00.000000,"66,585.00,20,093.00,73,184.25"
2023-10-16 00:00:00.000000,"38,770.00"
2023-10-17 00:00:00.000000,"1.8,1.8,45,931.00,1.8,1.8,23,244.74,17,168.11"
2023-10-18 00:00:00.000000,"54,342.99"
2023-10-23 00:00:00.000000,"1.8,1.8,1.8"
2023-10-24 00:00:00.000000,"1.8,45,707.20,32,975.00,1.8,51,390.00,17,845.41"
2023-10-25 00:00:00.000000,"1.8,1.8,45,188.00,38,200.46,39,100.00,1.8,51,774.35,1.8,67,085.07"
2023-10-26 00:00:00.000000,"1.8,1.8,1.8,1.8"
2023-10-27 00:00:00.000000,"35,000.00,47,022.46,67,535.70,1.8,1.8,1.8,1.8,44,585.00"
2023-10-30 00:00:00.000000,"59,933.81"
